Region,Item Type,Sales Channel,Order Date,Units Sold,Total Profit,Year
Australia and Oceania,Baby Food,Offline,5/28/10,9925,951410.5,2010
Central America and the Caribbean,Cereal,Online,8/22/12,2804,248406.36,2012
Europe,Office Supplies,Offline,5/2/14,1779,224598.75,2014
Sub-Saharan Africa,Fruits,Online,6/20/14,8102,19525.82,2014
Sub-Saharan Africa,Office Supplies,Offline,2/1/13,5062,639077.5,2013
Australia and Oceania,Baby Food,Online,2/4/15,2974,285087.64,2015
Sub-Saharan Africa,Household,Offline,4/23/11,4187,693911.51,2011
Sub-Saharan Africa,Vegetables,Online,7/17/12,8082,510216.66,2012
Sub-Saharan Africa,Personal Care,Offline,7/14/15,6070,152114.2,2015
Sub-Saharan Africa,Cereal,Online,4/18/14,6593,584073.87,2014
Asia,Vegetables,Online,6/24/11,124,7828.12,2011
Sub-Saharan Africa,Clothes,Offline,8/2/14,4168,306097.92,2014
Asia,Clothes,Online,1/13/17,8263,606834.72,2017
Central America and the Caribbean,Household,Offline,2/8/17,8974,1487261.02,2017
Asia,Personal Care,Offline,2/19/14,4901,122819.06,2014
Europe,Clothes,Online,4/23/12,1673,122865.12,2012
Asia,Cosmetics,Offline,11/19/16,6952,1208744.24,2016
Sub-Saharan Africa,Beverages,Offline,4/1/15,5430,85033.8,2015
Asia,Household,Offline,12/30/10,3830,634745.9,2010
Australia and Oceania,Meat,Online,7/31/12,5908,337937.6,2012
Europe,Baby Food,Online,5/14/14,7450,714157,2014
Europe,Baby Food,Online,7/31/15,1273,122029.78,2015
Central America and the Caribbean,Snacks,Online,6/30/16,2225,122686.5,2016
Australia and Oceania,Fruits,Online,9/8/14,2187,5270.67,2014
Europe,Personal Care,Online,5/7/16,5070,127054.2,2016
Europe,Cosmetics,Online,5/22/17,1815,315574.05,2017
Australia and Oceania,Fruits,Online,10/13/14,5398,13009.18,2014
Sub-Saharan Africa,Fruits,Online,5/7/10,5822,14031.02,2010
Europe,Beverages,Offline,7/18/14,5124,80241.84,2014
Sub-Saharan Africa,Household,Offline,5/26/12,2370,392780.1,2012
Europe,Cosmetics,Offline,9/17/12,8661,1505888.07,2012
Sub-Saharan Africa,Personal Care,Offline,12/29/13,2125,53252.5,2013
Australia and Oceania,Office Supplies,Online,10/27/15,2924,369155,2015
Asia,Household,Offline,1/16/15,8250,1367272.5,2015
Sub-Saharan Africa,Snacks,Online,2/25/17,7327,404010.78,2017
Central America and the Caribbean,Personal Care,Offline,5/8/17,6409,160609.54,2017
Middle East and North Africa,Fruits,Online,11/22/11,3784,9119.44,2011
Sub-Saharan Africa,Meat,Online,1/14/17,4767,272672.4,2017
Asia,Office Supplies,Online,4/1/12,6708,846885,2012
Europe,Office Supplies,Online,2/16/12,3987,503358.75,2012
Sub-Saharan Africa,Personal Care,Online,3/11/17,3015,75555.9,2017
