,ZIP,State,County,coastal_flood_events_96_19,State_abbrev,County_FIPS
0,501,NEW YORK,SUFFOLK,2,NY,36103
1,1504,MASSACHUSETTS,PLYMOUTH,6,MA,25021
2,1746,MASSACHUSETTS,PLYMOUTH,6,MA,25021
3,1756,MASSACHUSETTS,PLYMOUTH,6,MA,25021
4,1760,MASSACHUSETTS,PLYMOUTH,6,MA,25021
5,2018,MASSACHUSETTS,BARNSTABLE,25,MA,25023
6,2019,MASSACHUSETTS,PLYMOUTH,6,MA,25021
7,2020,MASSACHUSETTS,BARNSTABLE,25,MA,25023
8,2021,MASSACHUSETTS,PLYMOUTH,6,MA,25021
9,2025,MASSACHUSETTS,BARNSTABLE,25,MA,25023
10,2026,MASSACHUSETTS,PLYMOUTH,6,MA,25021
11,2027,MASSACHUSETTS,PLYMOUTH,6,MA,25021
12,2030,MASSACHUSETTS,PLYMOUTH,6,MA,25021
13,2032,MASSACHUSETTS,PLYMOUTH,6,MA,25021
14,2035,MASSACHUSETTS,PLYMOUTH,6,MA,25021
15,2038,MASSACHUSETTS,PLYMOUTH,6,MA,25021
16,2041,MASSACHUSETTS,BARNSTABLE,25,MA,25023
17,2043,MASSACHUSETTS,BARNSTABLE,25,MA,25023
18,2044,MASSACHUSETTS,BARNSTABLE,25,MA,25023
19,2045,MASSACHUSETTS,BARNSTABLE,25,MA,25023
20,2047,MASSACHUSETTS,BARNSTABLE,25,MA,25023
21,2048,MASSACHUSETTS,PLYMOUTH,6,MA,25021
22,2050,MASSACHUSETTS,BARNSTABLE,25,MA,25023
23,2051,MASSACHUSETTS,BARNSTABLE,25,MA,25023
24,2052,MASSACHUSETTS,PLYMOUTH,6,MA,25021
25,2053,MASSACHUSETTS,PLYMOUTH,6,MA,25021
26,2054,MASSACHUSETTS,PLYMOUTH,6,MA,25021
27,2056,MASSACHUSETTS,PLYMOUTH,6,MA,25021
28,2059,MASSACHUSETTS,BARNSTABLE,25,MA,25023
29,2060,MASSACHUSETTS,BARNSTABLE,25,MA,25023
30,2061,MASSACHUSETTS,BARNSTABLE,25,MA,25023
31,2062,MASSACHUSETTS,PLYMOUTH,6,MA,25021
32,2065,MASSACHUSETTS,BARNSTABLE,25,MA,25023
33,2066,MASSACHUSETTS,BARNSTABLE,25,MA,25023
34,2067,MASSACHUSETTS,PLYMOUTH,6,MA,25021
35,2070,MASSACHUSETTS,PLYMOUTH,6,MA,25021
36,2071,MASSACHUSETTS,PLYMOUTH,6,MA,25021
37,2072,MASSACHUSETTS,PLYMOUTH,6,MA,25021
38,2081,MASSACHUSETTS,PLYMOUTH,6,MA,25021
39,2090,MASSACHUSETTS,PLYMOUTH,6,MA,25021
40,2093,MASSACHUSETTS,PLYMOUTH,6,MA,25021
41,2130,MASSACHUSETTS,PLYMOUTH,6,MA,25021
42,2135,MASSACHUSETTS,PLYMOUTH,6,MA,25021
43,2136,MASSACHUSETTS,PLYMOUTH,6,MA,25021
44,2169,MASSACHUSETTS,PLYMOUTH,6,MA,25021
45,2170,MASSACHUSETTS,PLYMOUTH,6,MA,25021
46,2171,MASSACHUSETTS,PLYMOUTH,6,MA,25021
47,2184,MASSACHUSETTS,PLYMOUTH,6,MA,25021
48,2185,MASSACHUSETTS,PLYMOUTH,6,MA,25021
49,2186,MASSACHUSETTS,PLYMOUTH,6,MA,25021
50,2188,MASSACHUSETTS,PLYMOUTH,6,MA,25021
51,2189,MASSACHUSETTS,BARNSTABLE,25,MA,25023
52,2190,MASSACHUSETTS,PLYMOUTH,6,MA,25021
53,2191,MASSACHUSETTS,PLYMOUTH,6,MA,25021
54,2215,MASSACHUSETTS,PLYMOUTH,6,MA,25021
55,2269,MASSACHUSETTS,PLYMOUTH,6,MA,25021
56,2301,MASSACHUSETTS,BARNSTABLE,25,MA,25023
57,2302,MASSACHUSETTS,BARNSTABLE,25,MA,25023
58,2303,MASSACHUSETTS,BARNSTABLE,25,MA,25023
59,2304,MASSACHUSETTS,BARNSTABLE,25,MA,25023
60,2305,MASSACHUSETTS,BARNSTABLE,25,MA,25023
61,2322,MASSACHUSETTS,PLYMOUTH,6,MA,25021
62,2324,MASSACHUSETTS,BARNSTABLE,25,MA,25023
63,2325,MASSACHUSETTS,BARNSTABLE,25,MA,25023
64,2327,MASSACHUSETTS,BARNSTABLE,25,MA,25023
65,2330,MASSACHUSETTS,BARNSTABLE,25,MA,25023
66,2331,MASSACHUSETTS,BARNSTABLE,25,MA,25023
67,2332,MASSACHUSETTS,BARNSTABLE,25,MA,25023
68,2333,MASSACHUSETTS,BARNSTABLE,25,MA,25023
69,2337,MASSACHUSETTS,BARNSTABLE,25,MA,25023
70,2338,MASSACHUSETTS,BARNSTABLE,25,MA,25023
71,2339,MASSACHUSETTS,BARNSTABLE,25,MA,25023
